  883 	     # 	     % 	     & 	     @ 	     A 	     C 	     D 	     E 	     I 	     M 	     N 	     O 	     Q 	     R 	     S 	     T 	     U 	     Z 	     ^ 	     a 	     b 	     c 	     d 	     e 	     f 	     g 	     h 	     i 	     j 	     k 	     l 	     m 	     n 	     o 	     p 	     q 	     r 	     s 	     t 	     u 	     v 	     x 	     z 	     ~ 	     _ 	       	 
    # 	  2517 	     4 	     0 	     0 	     6 	     5 	     6 	    10 	    58 	     1 	     3 	     0 	     0 	     0 	     4 	    11 	    12 	     6 	     4 	   127 	     6 	    31 	    21 	    89 	    31 	    16 	     9 	   128 	    23 	   108 	    24 	    58 	    73 	    70 	   151 	     2 	    28 	   178 	   235 	    62 	    21 	    30 	    23 	     2 	     0 	   394 	 
    % 	     0 	   313 	     0 	     3 	     4 	     0 	     0 	     0 	     2 	     0 	     0 	     2 	     0 	     0 	     0 	     0 	    23 	     0 	     2 	    16 	     0 	     0 	     0 	     4 	     0 	     0 	     2 	     4 	     0 	     0 	    21 	     3 	     0 	   111 	     0 	     0 	     4 	     0 	     1 	    56 	     9 	     0 	     0 	     0 	     0 	    39 	 
    & 	     0 	     4 	    16 	     2 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     2 	     0 	     0 	     0 	    10 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     1 	     0 	     0 	     1 	     0 	     0 	     0 	     0 	     0 	     2 	 
    @ 	     0 	     2 	     2 	    26 	     2 	     2 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     7 	     1 	     0 	     0 	     2 	     0 	     0 	     0 	     0 	     0 	     2 	     0 	     1 	     0 	     9 	     0 	     0 	     0 	     0 	     0 	     2 	     2 	     0 	     0 	     0 	     0 	     3 	 
    A 	     0 	     2 	     0 	     2 	  1272 	     1 	     0 	     8 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     1 	     1 	     0 	   342 	     0 	     1 	     0 	    24 	     0 	     0 	     3 	     0 	     0 	     2 	    52 	     0 	     8 	     9 	     0 	     0 	    33 	     0 	     0 	     0 	     2 	     1 	     1 	     0 	     0 	    91 	 
    C 	     0 	     0 	     0 	     0 	     0 	   593 	     0 	     0 	     3 	     0 	     0 	     0 	     4 	     6 	    22 	    24 	     1 	     5 	    13 	     0 	     0 	     6 	     4 	     4 	     0 	     0 	     0 	     1 	     2 	     8 	     2 	     0 	     0 	     0 	     2 	     0 	     0 	     1 	    16 	     0 	     0 	     0 	     0 	     2 	     0 	    13 	 
    D 	     0 	     0 	     0 	     0 	     0 	     0 	   271 	     0 	     7 	     0 	     0 	     0 	     0 	     0 	     0 	     6 	     0 	     6 	     0 	     0 	     4 	     0 	    24 	     2 	     0 	     8 	     0 	     2 	    30 	     4 	     2 	     0 	     1 	     1 	     2 	     0 	     4 	     0 	     2 	     2 	     7 	     2 	     6 	    19 	     0 	    18 	 
    E 	     1 	     0 	     0 	     0 	    54 	     0 	     0 	   592 	     2 	     0 	     0 	     0 	     0 	     0 	     1 	     0 	     2 	     0 	     0 	    95 	     2 	     0 	     1 	   464 	     2 	     0 	     6 	    25 	    25 	     0 	     5 	     4 	     2 	    19 	     1 	     0 	    22 	     0 	     3 	     6 	     2 	     0 	     0 	     0 	     0 	    55 	 
    I 	     0 	     2 	     0 	     0 	     0 	     0 	     4 	     0 	  2097 	     0 	     0 	     0 	     0 	     4 	     0 	     0 	     0 	     4 	     0 	     0 	     0 	     5 	     2 	    64 	     3 	     2 	     2 	   444 	    79 	     1 	     1 	     6 	     7 	     3 	     1 	     0 	     2 	     1 	     0 	     9 	     9 	     7 	     1 	    40 	     0 	   136 	 
    M 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    12 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     2 	     6 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	 
    N 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     7 	     0 	    64 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     2 	     0 	     0 	     0 	     1 	     0 	     0 	     1 	    18 	    17 	     0 	     0 	     0 	     0 	     0 	     0 	     4 	     0 	     0 	     0 	    23 	     0 	     6 	 
    O 	     0 	    10 	     0 	     0 	     8 	     0 	     0 	     0 	     0 	     0 	     0 	    17 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	    12 	     0 	     0 	     0 	     7 	     0 	     0 	     1 	     6 	     0 	     0 	    17 	     0 	     3 	   103 	     0 	     0 	     3 	     0 	     0 	     6 	     1 	     0 	     0 	     0 	     0 	    25 	 
    Q 	     0 	     0 	     0 	     0 	     0 	     6 	     4 	     0 	     4 	     0 	     0 	     0 	     4 	     0 	     2 	     3 	     0 	     4 	     0 	     0 	     0 	     0 	     5 	     0 	     0 	     2 	     0 	     7 	     0 	     0 	     0 	     0 	     0 	     0 	     1 	     0 	     0 	     1 	     0 	     0 	     2 	     0 	     0 	     0 	     0 	     8 	 
    R 	     0 	     0 	     0 	     0 	     0 	     6 	     2 	     0 	     2 	     0 	     0 	     0 	     0 	   295 	     6 	     0 	     0 	    14 	     4 	     1 	     0 	     3 	    16 	     5 	     0 	     0 	     4 	     1 	     1 	     2 	     0 	     2 	     2 	     0 	     0 	     0 	    30 	     6 	     2 	     0 	     6 	     0 	    10 	     2 	     0 	    10 	 
    S 	     5 	     0 	     0 	     0 	     0 	    30 	     0 	     0 	     4 	     0 	     0 	     0 	     0 	     5 	   641 	     5 	     0 	    82 	    30 	     0 	     0 	     0 	     0 	     1 	    40 	     0 	     2 	     2 	     6 	     0 	     0 	     0 	     0 	     0 	     2 	     0 	     2 	    27 	     1 	     0 	     0 	    31 	     0 	     0 	     0 	    43 	 
    T 	     0 	     0 	     0 	     0 	     0 	    17 	    21 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	   421 	     0 	     2 	     2 	     2 	     2 	     9 	    10 	     4 	     0 	     0 	     2 	     7 	    14 	    42 	     2 	     0 	     1 	     2 	     2 	     0 	     0 	     4 	    54 	     0 	     2 	     4 	     2 	     9 	     0 	    14 	 
    U 	     0 	    27 	     0 	     0 	     0 	     0 	     0 	     0 	     8 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	   231 	     0 	     0 	     0 	     0 	     2 	     1 	     9 	     0 	     0 	     4 	     4 	     0 	     0 	     2 	     7 	     2 	    38 	     2 	     0 	     4 	     0 	     0 	   235 	     3 	     0 	     2 	     0 	     0 	    22 	 
    Z 	     0 	     0 	     0 	     0 	     0 	     4 	     0 	     0 	    11 	     0 	     0 	     0 	     0 	     9 	     6 	     0 	     0 	   438 	     6 	     0 	     2 	     0 	     0 	     7 	     0 	     0 	     4 	    14 	     9 	     0 	     1 	     0 	     0 	     0 	     0 	     0 	    10 	     2 	     2 	     4 	     7 	     2 	     4 	     2 	     0 	    27 	 
    ^ 	     0 	     0 	     0 	     0 	     0 	    11 	     0 	     0 	     1 	     0 	     0 	     0 	     0 	    30 	    14 	     2 	     0 	     9 	   422 	     0 	     0 	     5 	     2 	     3 	     2 	     0 	     4 	     6 	     1 	     0 	     0 	     0 	     0 	     0 	     6 	     0 	    17 	    28 	     4 	     0 	     0 	     0 	     2 	     2 	     0 	    15 	 
    a 	     1 	     4 	     0 	     0 	   354 	     0 	     0 	    12 	     3 	     0 	     1 	     2 	     0 	     0 	     3 	     0 	     0 	     0 	     1 	  3161 	     0 	     2 	     0 	   249 	     4 	     2 	     8 	    12 	     1 	     3 	    91 	     1 	    27 	   193 	     2 	     0 	    38 	     4 	     5 	     3 	     5 	     6 	     7 	     0 	     0 	   148 	 
    b 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     2 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     4 	  1032 	     4 	    81 	     2 	     0 	    12 	     0 	    40 	     0 	     3 	    13 	    40 	    28 	     4 	    55 	     0 	     2 	     0 	    11 	     6 	   155 	     0 	     1 	     1 	     0 	    72 	 
    c 	     0 	     0 	     0 	     0 	     1 	    15 	     0 	     1 	     3 	     0 	     0 	     0 	     0 	     4 	     0 	    34 	     0 	     4 	     8 	     9 	     0 	   792 	    12 	     2 	    12 	     0 	     0 	     6 	     2 	    20 	     0 	     7 	     2 	     4 	    25 	     2 	     4 	   116 	   249 	     1 	     4 	     7 	    33 	     1 	     0 	    55 	 
    d 	     0 	     0 	     0 	     0 	     1 	     0 	    25 	     2 	     5 	     0 	     0 	     0 	     0 	     2 	     0 	     2 	     0 	     4 	     0 	     2 	    46 	    26 	  1679 	    22 	     2 	    23 	     0 	    21 	    14 	    19 	    21 	     7 	    50 	     9 	    15 	     0 	    77 	     7 	    88 	     8 	    35 	     0 	    32 	     7 	     0 	    90 	 
    e 	    12 	     2 	     0 	     0 	    22 	     0 	     2 	   190 	    35 	     0 	     0 	     2 	     0 	     1 	     3 	     0 	     2 	     8 	     6 	   404 	     7 	     2 	    26 	  4566 	     7 	     6 	    10 	   415 	    83 	     4 	     9 	    17 	    67 	   143 	     8 	     0 	   118 	    17 	    15 	    25 	    16 	     1 	    17 	     4 	     0 	   208 	 
    f 	     3 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     1 	     0 	     0 	     0 	     0 	     0 	     9 	     2 	     1 	     0 	     1 	     2 	     2 	    10 	     2 	     2 	   316 	     2 	     8 	     0 	     4 	    14 	    11 	     2 	     6 	     6 	    29 	     2 	    14 	   290 	    18 	     3 	    22 	    23 	    15 	     0 	     0 	    37 	 
    g 	     0 	     0 	     0 	     0 	     0 	     0 	     7 	     0 	    13 	     0 	     0 	     1 	     0 	     0 	     0 	     2 	     0 	     0 	     0 	     2 	    13 	     6 	    34 	     4 	     0 	   161 	     3 	     6 	     0 	    42 	     2 	    11 	     6 	     2 	    14 	     0 	     8 	     0 	     7 	     2 	    20 	    11 	     0 	     6 	     0 	    21 	 
    h 	     0 	     0 	     0 	     0 	     0 	     0 	     0 	     2 	     4 	     0 	     0 	     0 	     0 	     2 	     0 	     0 	     0 	     0 	     2 	    21 	     0 	     0 	     1 	    17 	     2 	     2 	   517 	     7 	    11 	     2 	    42 	     4 	    18 	    15 	     4 	     0 	    29 	     3 	     0 	     5 	    24 	    12 	     8 	     2 	     0 	    37 	 
